_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
214,2024,3,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,10636,425,42,3544,10,13,,,,600,99,0,405,33,3,134,0,,60,,,180,1,1,671,0,83,4,0,0,55,16999
215,2024,3,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,32812,1022,93,5600,39,4,,,4,1889,180,1,3347,319,17,1399,101,,223,10,,1075,8,,987,0,233,13,0,0,160,49536
216,2024,3,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,56739,1704,126,12660,94,5,1,,,3387,355,12,4596,355,16,1522,105,,287,11,,1715,41,,2277,0,637,19,0,0,247,86911
217,2024,3,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,8782,239,14,2867,49,,,,,584,26,3,339,42,2,322,0,,34,1,,142,,,628,0,88,7,0,0,75,14244
218,2024,3,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,3468,216,2,169,,4,,,,1295,197,,317,19,,4,20,,9,,,55,,,58,0,2,0,0,0,25,5860
219,2024,3,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,3061,182,10,577,1,2,,,,63,42,,175,19,,1,,,11,,,24,,0,196,0,12,0,0,0,10,4386
220,2024,3,A3532,GERNIKA LUMO - NABARNIZ,53,,,20,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,73
221,2024,3,A3533,GERNIKA LUMO - MENDATA,50,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,50
222,2024,3,A3534,GERNIKA LUMO - ERRIGOITI,21,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,23
223,2024,3,A3535,LEKEITIO - AMOROTO,73,,,17,,,,,,,,,,,,9,,,,,,,,,3,0,0,0,0,0,0,102
224,2024,3,A3536,LEKEITIO - MENDEXA,111,6,,7,,,,,,1,1,,,,,,,,,,,3,,,10,0,0,0,0,0,0,139
225,2024,3,A3538,LEKEITIO-Barainka,5,,,6,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,13
226,2024,3,A3915,BILBAO - DURANGO - ONDARROA (Autopista),34796,1202,295,10094,23,8,,,1,1365,238,4,1084,55,14,458,45,15,160,17,,278,25,12,2311,0,550,24,0,0,195,53269
227,2024,3,A3916,BILBAO - ERMUA - ONDARROA (Autopista),25264,821,119,4302,7,5,,,1,1457,192,32,1002,56,33,648,39,3,92,,,464,18,,1533,2,397,2,0,0,91,36580
