_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
37,2023,4,A3916,BILBAO - ERMUA - ONDARROA (Autopista),20811,597,114,3629,15,3,,,,899,69,32,443,40,13,1652,5,419,8,0,0,119,28868
38,2023,4,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,195,,,27,,,,,,,,,27,,,29,0,0,0,0,0,0,278
39,2023,4,A2312,Zabalburu - UPV/EHU  (Juan de Garay),8041,520,75,30,2,,,,,1246,208,1,315,86,,97,0,4,0,0,0,25,10650
40,2023,4,A2314,BILBAO - Erandiogoikoa - UPV/EHU,16419,1095,62,261,21,,,,,1700,190,19,812,55,11,230,0,9,5,0,0,124,21013
41,2023,4,A2318,Termibus - UPV/EHU (Autopista),23670,1551,162,224,25,2,,,,4074,365,17,1731,267,,400,3,51,2,0,0,193,32737
42,2023,4,A2321,Santutxu - UPV/EHU (Autopista),6667,585,46,22,1,,,,,1923,157,16,690,77,,60,0,9,0,0,0,71,10324
43,2023,4,A2324,BILBAO - UPV/EHU (Enekuri),6512,511,24,13,,,,,,719,125,7,225,15,10,66,0,1,0,0,0,19,8247
44,2023,4,A3115,BILBAO - SANTURTZI,25708,465,124,8524,79,2,2,,1,675,102,3,877,99,1,1787,18,1288,65,0,0,1103,40923
45,2023,4,A3122,BILBAO - SESTAO - Errepelega/Repelega,10908,200,57,3433,30,3,,,,266,24,5,381,56,5,595,2,728,52,0,0,536,17281
46,2023,4,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,54522,1176,276,17748,35,27,,,,2344,130,17,2806,296,44,3120,27,3150,73,0,0,2850,88641
47,2023,4,A3135,SESTAO - Cabieces,24728,487,67,11950,16,4,,,,720,34,15,689,39,6,1454,0,1718,58,0,0,1504,43489
48,2023,4,A3136,BILBAO - BARAKALDO - SANTURTZI,57922,1254,326,16847,78,26,2,2,1,2347,236,9,3001,267,130,4162,9,3101,111,0,0,2358,92189
49,2023,4,A3137,BILBAO - BARAKALDO,17712,298,57,5331,107,1,2,,1,427,20,12,595,43,,883,4,869,70,0,0,985,27417
50,2023,4,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,18923,347,31,7094,36,6,,,1,1128,72,1,949,41,1,1129,0,859,28,0,0,1074,31720
